id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset,PWV,formatted_time
141,P8317,2025/06/03 00:00,25.94,112.62,245.0,郴州市,湘山,桂阳县,21.37,92,979.9,19.9,39.428,train,39.428,2025-06-03 00:00:00
142,P8551,2025/06/03 00:00,25.94,113.95,774.6,郴州市,新坊,桂东县,21.8,91,922.1,20.4,36.6642,train,36.6642,2025-06-03 00:00:00
143,57962,2025/06/03 00:00,25.96,111.65,206.7,永州市,双牌,双牌县,23.37,100,984.8,20.0,50.9,train,50.9,2025-06-03 00:00:00
144,P7745,2025/06/03 00:00,25.96,111.87,377.0,永州市,黄江源,双牌县,20.86,95,964.3,19.0,40.8014,train,40.8014,2025-06-03 00:00:00
145,P8413,2025/06/03 00:00,25.97,112.81,259.5,郴州市,洋市,桂阳县,23.51,100,978.1,20.1,49.3823,test,49.3823,2025-06-03 00:00:00
146,P8392,2025/06/03 00:00,25.97,113.05,161.0,郴州市,五里牌,苏仙区,21.91,86,989.6,21.4,56.9948,train,56.9948,2025-06-03 00:00:00
147,57981,2025/06/03 00:00,25.97,113.22,142.2,郴州市,资兴,资兴市,23.22,94,992.0,20.9,54.2,train,54.2,2025-06-03 00:00:00
148,P8493,2025/06/03 00:00,25.97,113.45,311.0,郴州市,天鹅山,资兴市,23.23,100,971.5,19.9,54.8745,train,54.8745,2025-06-03 00:00:00
149,P7724,2025/06/03 00:00,25.98,111.86,365.0,永州市,麻江,双牌县,21.16,94,966.8,19.4,40.2922,train,40.2922,2025-06-03 00:00:00
150,P8390,2025/06/03 00:00,25.99,113.01,99.0,郴州市,栖凤渡,苏仙区,21.67,83,994.6,21.8,45.8602,test,45.8602,2025-06-03 00:00:00
151,P8681,2025/06/03 00:00,26.0,113.59,352.7,郴州市,团桥,资兴市,21.66,95,968.1,19.6,32.5761,train,32.5761,2025-06-03 00:00:00
152,P3918,2025/06/03 00:00,26.01,109.77,512.0,怀化市,陇城,通道侗族自治县,18.68,90,951.3,18.1,39.6916,train,39.6916,2025-06-03 00:00:00
153,P8265,2025/06/03 00:00,26.02,112.86,207.0,郴州市,文明,永兴县,21.36,87,985.1,20.8,39.4231,train,39.4231,2025-06-03 00:00:00
154,P8318,2025/06/03 00:00,26.03,112.53,341.1,郴州市,欧阳海,桂阳县,19.5,77,967.9,21.3,54.1711,train,54.1711,2025-06-03 00:00:00
155,P8417,2025/06/03 00:00,26.04,112.74,467.6,郴州市,青兰,桂阳县,19.04,79,955.9,20.5,36.531,test,36.531,2025-06-03 00:00:00
156,P8267,2025/06/03 00:00,26.04,112.92,110.0,郴州市,儒林,永兴县,22.47,84,993.3,22.2,41.1602,train,41.1602,2025-06-03 00:00:00
157,P8514,2025/06/03 00:00,26.04,113.39,1102.0,郴州市,十龙潭,资兴市,16.61,100,886.5,14.6,44.0303,train,44.0303,2025-06-03 00:00:00
158,P8676,2025/06/03 00:00,26.05,112.8,289.0,郴州市,油麻,永兴县,23.66,100,976.2,20.2,49.172,train,49.172,2025-06-03 00:00:00
159,P6618,2025/06/03 00:00,26.06,110.15,539.1,邵阳市,五团,城步苗族自治县,21.28,100,946.5,18.5,33.6959,train,33.6959,2025-06-03 00:00:00
160,P8403,2025/06/03 00:00,26.06,112.63,286.6,郴州市,桥市,桂阳县,21.14,83,975.7,21.4,47.9376,test,47.9376,2025-06-03 00:00:00
161,P8480,2025/06/03 00:00,26.06,113.28,140.0,郴州市,源兴,资兴市,23.43,96,991.0,20.7,57.0417,train,57.0417,2025-06-03 00:00:00
162,P3917,2025/06/03 00:00,26.08,109.55,455.3,怀化市,独坡,通道侗族自治县,20.2,92,957.6,19.0,36.8992,train,36.8992,2025-06-03 00:00:00
163,P4175,2025/06/03 00:00,26.08,109.81,407.3,怀化市,长安堡,通道侗族自治县,21.42,100,961.3,18.6,42.7479,train,42.7479,2025-06-03 00:00:00
164,P8481,2025/06/03 00:00,26.08,113.26,123.0,郴州市,东湾,资兴市,24.25,100,993.4,20.6,53.7077,train,53.7077,2025-06-03 00:00:00
