id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,id,predict,rh,sp,t2m,target
116,P8323,2025/06/03 00:00,25.76,112.65,265.0,郴州市,平岗,桂阳县,20.87,91,977.6,19.7,39.4601,train,2025-06-03 00:00:00,566.0,45.141888,79.9,96902.35,19.7,566.0
117,P8322,2025/06/03 00:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.66,91,984.4,20.3,37.0,train,2025-06-03 00:00:00,567.0,46.15548,79.89,96607.35,19.56,567.0
118,P8604,2025/06/03 00:00,25.77,113.31,395.0,郴州市,青草,资兴市,22.06,95,965.2,19.9,57.5801,train,2025-06-03 00:00:00,572.0,45.024944,80.37,94863.75,18.99,572.0
119,P7881,2025/06/03 00:00,25.78,111.44,335.0,永州市,上坝水库,道县,19.16,82,967.9,20.0,33.1898,train,2025-06-03 00:00:00,559.0,46.140713,80.45,95987.35,19.36,559.0
120,P8314,2025/06/03 00:00,25.78,112.5,145.0,郴州市,飞仙,桂阳县,23.62,98,991.6,20.5,47.522,test,2025-06-03 00:00:00,564.0,45.159603,78.58,97257.75,19.86,564.0
121,P8397,2025/06/03 00:00,25.78,112.92,284.0,郴州市,茶场,北湖区,23.08,100,975.9,19.8,52.1365,train,2025-06-03 00:00:00,568.0,45.875984,79.02,96343.75,19.43,568.0
122,P8437,2025/06/03 00:00,25.78,113.06,192.0,郴州市,王仙岭,苏仙区,21.63,92,985.9,20.1,50.1569,train,2025-06-03 00:00:00,570.0,45.052986,79.01,95791.15,19.24,570.0
123,P8259,2025/06/03 00:00,25.79,113.12,173.0,郴州市,观山洞,苏仙区,22.11,97,987.5,19.6,44.7337,train,2025-06-03 00:00:00,570.0,45.052986,79.01,95791.15,19.24,570.0
124,P7850,2025/06/03 00:00,25.81,112.12,497.1,永州市,龙家大院,新田县,21.12,95,951.8,19.2,48.4387,train,2025-06-03 00:00:00,560.0,46.647644,78.06,96340.95,19.48,560.0
125,P7837,2025/06/03 00:00,25.81,112.28,155.2,永州市,祖亭下,新田县,21.96,90,988.5,20.7,47.062,test,2025-06-03 00:00:00,562.0,45.932724,75.24,97344.15,19.91,562.0
126,P7841,2025/06/03 00:00,25.81,112.33,163.0,永州市,程家,新田县,21.56,90,987.1,20.4,41.4949,train,2025-06-03 00:00:00,562.0,45.932724,75.24,97344.15,19.91,562.0
127,P8440,2025/06/03 00:00,25.81,113.04,184.0,郴州市,苏仙岭,苏仙区,21.77,92,985.8,20.2,50.1289,train,2025-06-03 00:00:00,569.0,45.79347,78.32,96288.75,19.44,569.0
128,P8411,2025/06/03 00:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.77,92,983.1,20.2,36.5133,train,2025-06-03 00:00:00,566.0,45.141888,79.9,96902.35,19.7,566.0
129,P8439,2025/06/03 00:00,25.82,113.1,202.0,郴州市,香山坪,苏仙区,23.51,100,985.7,20.1,55.1027,train,2025-06-03 00:00:00,570.0,45.052986,79.01,95791.15,19.24,570.0
130,P7779,2025/06/03 00:00,25.83,111.99,247.4,永州市,柏家坪,宁远县,21.37,92,978.8,19.9,41.5373,test,2025-06-03 00:00:00,559.0,46.140713,80.45,95987.35,19.36,559.0
