time_utc,time_bj,latitude,longitude,t2m_K,sp_Pa,t2m_C
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,112.5,292.57007,96958.69,19.420074
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,112.75,292.99585,97648.69,19.845856
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,113.0,293.17358,98049.69,20.02359
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,113.25,292.78687,96707.69,19.636871
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,113.5,292.36694,93425.69,19.21695
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,113.75,292.82397,89631.69,19.67398
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,114.0,294.83374,88951.69,21.683746
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,114.25,297.82983,93675.69,24.67984
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,114.5,299.2146,96371.69,26.064606
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,114.75,299.93335,97397.69,26.783356
2025-06-02 00:00:00,2025-06-02 08:00:00,26.0,115.0,300.49,97566.69,27.339996
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,112.0,292.90015,96322.69,19.750153
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,112.25,293.03687,97223.69,19.886871
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,112.5,292.97827,97132.69,19.828278
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,112.75,292.4978,96336.69,19.347809
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,113.0,291.88647,95696.69,18.73648
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,113.25,292.01733,94571.69,18.86734
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,113.5,293.37866,93333.69,20.228668
2025-06-02 00:00:00,2025-06-02 08:00:00,25.75,113.75,295.17163,92001.69,22.021637
